name, method, class, f1_score
leaf,i,1,0.162162162162
leaf,i,2,0.125
leaf,i,3,0.235294117647
leaf,i,4,0
leaf,i,5,0.416666666667
leaf,i,6,0.526315789474
leaf,i,7,0.235294117647
leaf,i,8,0.909090909091
leaf,i,9,0.0740740740741
leaf,i,10,0.4
leaf,i,11,0.866666666667
leaf,i,12,0
leaf,i,13,0.206896551724
leaf,i,14,0.24
leaf,i,15,0.857142857143
leaf,i,22,0.181818181818
leaf,i,23,0.421052631579
leaf,i,24,0.294117647059
leaf,i,25,0.454545454545
leaf,i,26,0.125
leaf,i,27,0.47619047619
leaf,i,28,0.25
leaf,i,29,0.173913043478
leaf,i,30,0.1
leaf,i,31,0.7
leaf,i,32,0.454545454545
leaf,i,33,0.190476190476
leaf,i,34,0.8
leaf,i,35,0.5
leaf,i,36,0.8
leaf,g,1,0.636363636364
leaf,g,2,0.190476190476
leaf,g,3,0.5
leaf,g,4,0.2
leaf,g,5,0.846153846154
leaf,g,6,0.571428571429
leaf,g,7,0.380952380952
leaf,g,8,0.842105263158
leaf,g,9,0.48
leaf,g,10,0.8
leaf,g,11,0.866666666667
leaf,g,12,0.666666666667
leaf,g,13,0.4
leaf,g,14,0.636363636364
leaf,g,15,0.761904761905
leaf,g,22,0.380952380952
leaf,g,23,0.727272727273
leaf,g,24,0.210526315789
leaf,g,25,0.631578947368
leaf,g,26,0.333333333333
leaf,g,27,0.444444444444
leaf,g,28,0.5625
leaf,g,29,0.833333333333
leaf,g,30,0.818181818182
leaf,g,31,0.777777777778
leaf,g,32,0.173913043478
leaf,g,33,0.272727272727
leaf,g,34,0.814814814815
leaf,g,35,0.545454545455
leaf,g,36,0.695652173913
