name, method, class, balanced_accuracy
leaf,i,1,0.5
leaf,i,2,0.5
leaf,i,3,0.5
leaf,i,4,0.5
leaf,i,5,0.5
leaf,i,6,0.560993975904
leaf,i,7,0.5
leaf,i,8,0.860596849959
leaf,i,9,0.402278702892
leaf,i,10,0.536932486474
leaf,i,11,0.624228395062
leaf,i,12,0.5
leaf,i,13,0.452834627147
leaf,i,14,0.5
leaf,i,15,0.5
leaf,i,22,0.5
leaf,i,23,0.5
leaf,i,24,0.501764290755
leaf,i,25,0.555555555556
leaf,i,26,0.5
leaf,i,27,0.5
leaf,i,28,0.5
leaf,i,29,0.5
leaf,i,30,0.5
leaf,i,31,0.725752970434
leaf,i,32,0.5
leaf,i,33,0.5
leaf,i,34,0.946946670351
leaf,i,35,0.5
leaf,i,36,0.49696969697
leaf,g,1,0.5625
leaf,g,2,0.540909090909
leaf,g,3,0.5
leaf,g,4,0.5
leaf,g,5,0.540142276423
leaf,g,6,0.560993975904
leaf,g,7,0.49696969697
leaf,g,8,0.862116606797
leaf,g,9,0.670683610868
leaf,g,10,0.575629263703
leaf,g,11,0.886574074074
leaf,g,12,0.557418699187
leaf,g,13,0.552458245119
leaf,g,14,0.571138211382
leaf,g,15,0.695454545455
leaf,g,22,0.575711382114
leaf,g,23,0.680298424979
leaf,g,24,0.493883792049
leaf,g,25,0.554044981537
leaf,g,26,0.5
leaf,g,27,0.498480243161
leaf,g,28,0.580284552846
leaf,g,29,0.703760162602
leaf,g,30,0.540142276423
leaf,g,31,0.816662061343
leaf,g,32,0.498480243161
leaf,g,33,0.543934788616
leaf,g,34,0.815142304504
leaf,g,35,0.58938933407
leaf,g,36,0.64696969697
